Review Title,Reviewer Name,Reviewer Location,Review Time,Verified,Review,Aircraft Model,Type Of Traveller,Seat Type,Route,Date flown,Overall Rating,Seat rating,Cabin rating,Food rating,Inflight Entertainment rating,Ground rating,Value of money,Recommended
they declined a small goodwill gesture,Paul Nicoll,United Kingdom,2026-07-09,Trip Verified,"There were several issues, including the onboard service, condition of the lavatory, problems with the moving map and a disappointing breakfas. I contacted Customer Care, and while they responded promptly, I was disappointed that they declined even a small goodwill gesture.",,Solo Leisure,Business Class,Sydney to Doha,July 2026,5/10,5.0,3.0,3.0,3.0,5.0,3,no
showed incredible leadership,Maher AlShaaban,Qatar,2026-06-24,Trip Verified,"Two and a half hours before our flight to Indonesia, we arrived at check-in and an unexpected Advance Passenger Processing (APP) flag locked my visa. My wife and son were cleared to board, but I was blocked. The initial supervisor emailed immigration authorities, informing us that waiting was our only option. I pleaded with the shift supervisor. He calmly replied, ""Unfortunately, an email is the only way, but we will do everything we can to make sure you don't miss this flight."" He kept his word, monitoring communications while front desk assistant fired off multiple ""Urgent"" follow-up emails in under ten minutes, pushing for a rapid response. Staff showed incredible leadership. He took decisive action to manually navigate the sync delay, forcefully pushing our check-in through.  We had 25 minutes to clear immigration, pass security, and reach Gate 24C. We reached the gate at 6:40 PM, ten minutes past takeoff. The gate agent had held the flight.",,Family Leisure,Economy Class,Doha to Jakarta,June 2026,10/10,3.0,5.0,4.0,1.0,5.0,5,yes
just had to just sleep,Alwaleed Althani,Qatar,2026-06-06,Trip Verified,"Came in on a connecting flight on Cathay Pacific flight from Guangzhou going onto Doha. At 2 AM everything at the airport was closed except for the lounges. Onboard nice QSuites but I just had to just sleep, and had no food or used entertainment.",A350-1000,Couple Leisure,Business Class,Hong Kong to Doha,May 2026,9/10,4.0,4.0,,,3.0,4,yes
sandwich no choice,Alwaleed Althani,Qatar,2026-06-06,Trip Verified,"A330 comfortable but very much underwhelming. Paper bags with a sandwich no choice, but as the flight that lasts 45 minutes getting there was more important.",A330-200,Couple Leisure,Business Class,CAN to HKG,May 2026,6/10,3.0,3.0,1.0,1.0,3.0,3,yes
cabin crew was professional and friendly,L Casine,France,2026-05-29,Trip Verified,"I recently flew with Qatar Airways on a Boeing 777-300ER and my experience was mixed overall, so I would rate it 3 stars. The onboard entertainment system was excellent, with a great selection of movies and internet access throughout the flight. The meals and drinks were also very good, and the onboard service from the cabin crew was professional and friendly. However, my seats was quite small and narrow. One of the biggest disappointments was the cabin baggage allowance of only 7kg, andthe extra baggage charges were 276 Chinese RMB (40usd- 35euros) per additional kilogram. The ground staff experience in Guangzhou was very unpleasant and poorly handled",Boeing 777-300ER,Business,Economy Class,Guangzhou to Doha,May 2026,6/10,2.0,5.0,5.0,5.0,2.0,2,no
Outstanding experience,K Dhanoop,Qatar,2026-05-21,Trip Verified,"Outstanding experience with Qatar Airways My recent journey was particularly memorable, as it was my second experience flying business class and it exceeded expectations.  Priority check-in eliminated long queues, and lounge access provided a calm, comfortable environment to relax. Onboard, the seat was spacious and converted into a fully flat bed. The service was attentive without being intrusive, and the dining experience stood out as well, thoughtfully presented, with a variety of options. A special mention goes to the cabin crew whose service truly elevated the journey. Highly recommended.",,Solo Leisure,Business Class,Doha to Kochi,May 2026,10/10,5.0,5.0,5.0,5.0,5.0,5,yes
Very nice QSuites,Alwaleed Althani,Qatar,2026-05-19,Trip Verified,"Very nice QSuites, I had 5A which is back facing. Being tired I was not interested in having any food. The WIFI was great throughout the flight except over India. Cabin staff were nice not top notch Qatar Airways standard but still very good.",Boeing 777-300,Couple Leisure,Business Class,Doha to Guangzhou,May 2026,8/10,5.0,4.0,,4.0,5.0,4,yes
service was very good,Michael Schade,Thailand,2026-05-14,Trip Verified,"Frankfurt Airport check in was chaotic, it took me over an hour to check in. Flight to Doha was ok, with decent food and good service. Arrival transport in Doha was by remote stand and bus, despite a quiet airport. Al Safwa lounge good as always. Departure was by remote stand and bus and it wasn’t clear when BC was suppose to board as the special bus for BC wasn’t there. Going through this at 3 am contributes to the stress of travelling. Food was ok on the 2nd leg of the journey, service was very good",Boeing 789/ / 777-300,Solo Leisure,Business Class,Frankfurt to Bangkok via Doha,May 2026,5/10,4.0,5.0,4.0,3.0,1.0,3,yes
service was of excellent quality,Alwaleed Althani,Qatar,2026-05-11,Trip Verified,Evening departure from London and early morning arriving into Doha the timing didn’t give an opportunity fee to enjoy meals or entertainment but the service was of excellent quality. WIFI was excellent and the flight was short for the route the unfortunate issue of having remote parking in Doha can be a problem.,Boeing 777,Couple Leisure,Business Class,LHR to DOH,May 2026,9/10,5.0,5.0,,,5.0,4,yes
Boarding in Johannesburg was chaotic,Alwaleed Althani,Qatar,2026-04-09,Trip Verified,Boarding in Johannesburg was chaotic there should have been two airbridges but only one was utilized and this was on the ground staff in JNB. There was a menu but what was on the menu wasn’t what was catered and I ended up having to settle for a cheese platter of the lowest quality. I think Qatar Airways need to review their ground operations and catering in Johannesburg as I have done this route three times a couple of years ago and had a wonderful experience.,Boeing 787-9,Family Leisure,Business Class,Johannesburg to Doha,April 2026,6/10,3.0,3.0,1.0,4.0,1.0,4,yes
